1657,AVAILABLE,LOW
1660,AVAILABLE,LOW
1661,AVAILABLE,LOW
1662,AVAILABLE,LOW
1667,AVAILABLE,HIGH
1669,AVAILABLE,LOW
1678,EXHAUSTED,MEDIUM
1681,AVAILABLE,LOW
1682,AVAILABLE,LOW
1689,AVAILABLE,LOW
1701,AVAILABLE,LOW
1702,EXHAUSTED,LOW
1703,EXHAUSTED,MEDIUM
1704,EXHAUSTED,LOW
1706,AVAILABLE,LOW
1707,AVAILABLE,LOW
1708,AVAILABLE,LOW
1712,AVAILABLE,LOW
1713,EXHAUSTED,HIGH
1714,EXHAUSTED,LOW
1715,AVAILABLE,LOW
1716,AVAILABLE,LOW
1717,AVAILABLE,LOW
1718,EXHAUSTED,MEDIUM
1719,AVAILABLE,LOW
1720,AVAILABLE,LOW
1724,AVAILABLE,LOW
1725,AVAILABLE,LOW
1726,AVAILABLE,LOW
1727,AVAILABLE,LOW
1731,AVAILABLE,LOW
1732,EXHAUSTED,LOW
1734,AVAILABLE,LOW
1737,AVAILABLE,MEDIUM
1740,AVAILABLE,LOW
1743,AVAILABLE,LOW
1747,AVAILABLE,LOW
1754,AVAILABLE,LOW
1757,AVAILABLE,LOW
1760,AVAILABLE,LOW
1762,AVAILABLE,LOW
1763,AVAILABLE,LOW
1765,AVAILABLE,LOW
1769,AVAILABLE,LOW
1770,EXHAUSTED,LOW
1771,AVAILABLE,HIGH
1772,AVAILABLE,LOW
1773,EXHAUSTED,HIGH
1774,AVAILABLE,LOW
1775,AVAILABLE,LOW
1779,AVAILABLE,LOW
1781,AVAILABLE,LOW
1785,AVAILABLE,LOW
1786,AVAILABLE,LOW
1801,AVAILABLE,LOW
1802,AVAILABLE,LOW
1803,AVAILABLE,LOW
1804,AVAILABLE,MEDIUM
1805,AVAILABLE,LOW
1806,AVAILABLE,LOW
1808,AVAILABLE,LOW
1810,AVAILABLE,LOW
1812,AVAILABLE,LOW
1813,AVAILABLE,LOW
1814,AVAILABLE,LOW
1815,AVAILABLE,LOW
1816,AVAILABLE,LOW
1817,AVAILABLE,LOW
1818,EXHAUSTED,HIGH
1828,AVAILABLE,LOW
1830,AVAILABLE,LOW
1831,AVAILABLE,MEDIUM
